27b - Taxa de letalidade de dengue 
Tx Letalidade Dengue por Município e Ano
Período:2012-2016
"Município";"2012";"2013";"2014";"2015";"2016";"Total"
"351490 Elias Fausto";...;0,00;0,00;0,00;0,00;0,00
"351492 Elisiário";...;0,00;0,00;0,00;0,00;0,00
"351495 Embaúba";0,00;0,00;...;0,00;0,00;0,00
"351500 Embu das Artes";0,00;0,00;0,00;0,00;0,00;0,00
"351510 Embu-Guaçu";0,00;...;0,00;0,00;0,00;0,00
"351512 Emilianópolis";...;0,00;0,00;0,00;0,00;0,00
"351515 Engenheiro Coelho";0,00;0,00;0,00;0,00;0,00;0,00
"351518 Espírito Santo do Pinhal";0,00;0,00;0,00;0,00;0,00;0,00
"351519 Espírito Santo do Turvo";...;0,00;...;0,00;0,00;0,00
"355730 Estiva Gerbi";0,00;0,00;0,00;0,00;0,00;0,00
"351520 Estrela d'Oeste";0,00;0,00;0,00;0,00;0,00;0,00
"351530 Estrela do Norte";...;0,00;0,00;0,00;0,00;0,00
"351535 Euclides da Cunha Paulista";0,00;0,00;0,00;0,00;0,00;0,00
"351540 Fartura";...;0,00;0,00;0,00;0,00;0,00
"351560 Fernando Prestes";0,00;0,00;0,00;0,00;0,00;0,00
"351550 Fernandópolis";0,00;0,00;0,00;0,17;0,00;0,05
"351565 Fernão";...;0,00;0,00;0,00;...;0,00
"351570 Ferraz de Vasconcelos";0,00;0,00;0,00;0,00;0,00;0,00
"351580 Flora Rica";...;0,00;0,00;0,00;0,00;0,00
"351590 Floreal";0,00;0,00;0,00;0,00;0,00;0,00
"351600 Flórida Paulista";0,00;0,00;0,00;0,00;0,00;0,00
"351610 Florínia";...;...;0,00;0,39;0,00;0,31
"351620 Franca";0,00;0,00;0,00;0,05;0,13;0,06
"351630 Francisco Morato";0,00;0,00;0,00;0,00;0,00;0,00
"351640 Franco da Rocha";0,00;0,00;0,00;0,00;0,00;0,00
"351650 Gabriel Monteiro";0,00;0,00;7,14;0,00;0,00;1,56
"351660 Gália";...;0,00;0,00;0,00;...;0,00
"351670 Garça";0,00;0,00;0,00;0,14;0,00;0,13
"351680 Gastão Vidigal";0,00;0,00;0,00;0,00;0,00;0,00
"351685 Gavião Peixoto";...;0,00;0,00;0,00;0,00;0,00
"351690 General Salgado";...;0,00;0,00;0,00;0,00;0,00
"351700 Getulina";0,00;0,00;0,00;0,00;0,00;0,00
"351710 Glicério";...;0,00;0,00;0,00;0,00;0,00
"351720 Guaiçara";0,00;0,00;0,00;0,00;0,00;0,00
"351730 Guaimbê";...;0,00;0,00;0,17;0,00;0,16
"351740 Guaíra";0,00;0,00;0,00;0,12;0,00;0,03
"351750 Guapiaçu";0,00;0,00;0,00;0,00;0,00;0,00
"351760 Guapiara";...;...;0,00;0,00;0,00;0,00
"351770 Guará";...;0,00;0,00;0,00;0,00;0,00
"351780 Guaraçaí";0,00;0,00;0,00;0,00;0,00;0,00
"351790 Guaraci";0,00;0,00;0,00;0,00;0,00;0,00
"351800 Guarani d'Oeste";...;0,00;0,00;0,00;0,00;0,00
"351810 Guarantã";...;0,00;0,00;0,00;0,00;0,00
"351820 Guararapes";0,00;0,00;0,00;0,25;0,00;0,19
"351830 Guararema";0,00;...;0,00;0,00;0,00;0,00
"351840 Guaratinguetá";0,04;0,00;0,00;0,08;0,00;0,05
"351850 Guareí";...;0,00;...;0,00;0,00;0,00
"351860 Guariba";...;0,00;0,00;0,00;0,00;0,00
"351870 Guarujá";0,00;0,23;0,00;0,23;0,22;0,21
"351880 Guarulhos";0,60;0,04;0,07;0,04;0,08;0,05
"351885 Guatapará";...;0,00;0,00;0,00;14,29;0,31
"351890 Guzolândia";...;0,00;0,00;0,00;0,00;0,00
"351900 Herculândia";...;0,00;0,00;1,65;0,00;0,64
"351905 Holambra";0,00;0,00;0,00;0,00;0,00;0,00
"351907 Hortolândia";0,00;0,00;0,00;0,09;0,00;0,05
"351910 Iacanga";...;0,00;0,00;0,00;2,86;0,52
"351920 Iacri";...;0,00;0,00;0,00;0,00;0,00
"351925 Iaras";...;0,00;0,00;0,00;...;0,00
"351930 Ibaté";0,00;0,00;0,00;0,00;0,00;0,00
